Country.Name,Continent,Country Code,Year,Human capital,Human capital per capita,"Human capital per capita, employed female","Human capital per capita, employed male","Human capital per capita, female","Human capital per capita, male","Human capital per capita, self-employed female","Human capital per capita, self-employed male","Human capital, employed female","Human capital, employed male","Human capital, female","Human capital, male","Human capital, self-employed female","Human capital, self-employed male",Natural capital,Natural capital per capita,"Natural capital per capita, agricultural land","Natural capital per capita, agricultural land: cropland","Natural capital per capita, agricultural land: pastureland","Natural capital per capita, fisheries","Natural capital per capita, forests: ecosystem services","Natural capital per capita, forests: timber","Natural capital per capita, fossil fuels","Natural capital per capita, mangroves","Natural capital per capita, nonrenewable assets","Natural capital per capita, nonrenewable assets: coal","Natural capital per capita, nonrenewable assets: gas","Natural capital per capita, nonrenewable assets: minerals","Natural capital per capita, nonrenewable assets: oil","Natural capital per capita, protected areas","Natural capital per capita, renewable","Natural capital, agricultural land","Natural capital, agricultural land: cropland","Natural capital, agricultural land: pastureland","Natural capital, fisheries","Natural capital, forests: ecosystem services","Natural capital, forests: timber","Natural capital, fossil fuels","Natural capital, mangroves","Natural capital, nonrenewable assets","Natural capital, nonrenewable assets: coal","Natural capital, nonrenewable assets: gas","Natural capital, nonrenewable assets: minerals","Natural capital, nonrenewable assets: oil","Natural capital, protected areas","Natural capital, renewable",Net foreign assets,Net foreign assets per capita,Produced capital,Produced capital per capita,Total wealth,Total wealth per capita
Albania,Europe,ALB,1995,44861001529.9015,14072.7858380309,3468.85762831714,6507.93123327619,4893.00627518049,9179.77956285044,1424.14864686335,2671.84832957424,11057968845.8273,20745879058.5381,15597847115.92,29263154413.9816,4539878270.09264,8517275355.4435,21404853647.2995,6714.64994093058,4493.15318031672,2162.77809492993,2330.37508538679,4.28992997455334,555.608851685889,735.105287081622,863.916526171713,0,918.31372199452,18.9877823276305,34.0873916733039,54.3971958228076,810.841352170778,8.1789698772782,5796.33621893606,14323201817.7628,6894469406.56811,7428732411.19465,13675370.1340015,1771161007.66265,2343356872.4742,2753979279.46577,0,2927385789.95458,60528948.6995034,108663241.777891,173406510.488813,2584787088.98837,26072789.3112694,18477467857.3449,-237069903.224325,-74.3682455349311,49499963823.4414,15528.0168993387,115528749097.418,36241.0844327652
Albania,Europe,ALB,2007,59397609546.3564,19999.0806606011,2465.24747179334,13086.0212100865,3170.33189029681,16828.7487703042,705.08441850348,3742.72756021775,7321826900.43323,38865705456.3174,9415939609.82365,49981669936.5326,2094112709.39045,11115964480.2152,16643547455.1261,5603.85595608579,3720.07190097463,1300.96437974452,2419.10752123011,0.0554349803378176,834.117122792821,47.0475973705766,698.549739325371,0,963.124592546159,2.968417610218,11.5504264686329,264.574853220788,684.03089524652,39.4393074212717,4640.73136353964,11048676787.117,3863886324.23568,7184790462.88128,164642.833997984,2477342034.68577,139732163.999768,2074704601.14192,0,2860496412.98017,8816250.76544684,34304962.9690896,785791811.838246,2031583387.40738,117135413.509403,13783051042.1459,-2232557416.08193,-751.698531046096,63865551147.5256,21503.4294913213,137674150732.926,46354.667576962
Albania,Europe,ALB,1999,42196257451.8409,13573.2617291556,3259.89287632051,6492.73039341283,4536.97205311183,9036.28967604379,1277.07917679131,2543.55928263096,10134283256.2619,20184457406.9732,14104438905.3289,28091818546.5121,3970155649.06695,7907361139.53892,15004961936.2137,4826.64311707485,3722.6275538355,1545.68892715091,2176.93862668459,9.03497678151232,639.652855784796,67.1976164208322,352.200442303342,0,358.501977400525,0.499703314145795,5.06087981247716,6.30153509718332,346.639859176719,29.62813685168,4468.14113967432,11572822641.5576,4805203731.57035,6767618909.98728,28087737.0488763,1988538725.70095,208902471.581522,1094912986.6229,0,1114503060.29925,1553466.66954354,15733151.8216731,19590073.6763514,1077626368.13168,92107300.0254921,13890458875.9145,-372372658.509738,-119.781038887221,50095331330.0937,16114.1552500994,106924178059.639,34394.2790574427
Albania,Europe,ALB,2018,81214984639.6904,28333.6814987602,3312.9269291563,19245.1888263083,4161.13728012241,24172.5442186378,848.210350966113,4927.35539232954,9496094239.48733,55163947367.1982,11927384032.4481,69287600607.2421,2431289792.96084,14123653240.044,25897471398.6184,9034.91774931773,4800.54906010121,2339.28947113409,2461.25958896711,2.1384770377784,1059.90356845476,210.336662028786,1279.91626284576,0,1349.98368793065,14.0439865384786,10.6005350526237,70.0674250848982,1255.27174125465,1612.00629376454,7684.93406138708,13760178612.6967,6705283197.11146,7054895415.5852,6129679.25763911,3038082150.93309,602903959.959423,3668721257.83076,0,3869560843.47592,40255345.958218,30385119.2619994,200839585.64515,3598080792.61055,4620616152.29564,22027910555.1425,-7482770000,-2610.53330058583,84779198625.1519,29577.1380395147,184408884663.461,64335.2039870068
Albania,Europe,ALB,2014,72487665593.7119,25090.0160027856,2957.42019542181,16991.3817485389,3719.6078360264,21370.408166759298,762.187640604563,4379.02641822031,8544294516.27392,49089868975.2308,10746333877.4952,61741331716.2168,2202039361.22121,12651462740.986,22581942865.5316,7816.24436694961,4717.22528403578,2042.14603721789,2675.07924681789,0,942.813580617932,173.975394218363,1666.68006897186,0,1794.10620056593,0.49127802010349,11.3843821163193,127.426131594074,1654.80440883543,188.123907511604,6022.13816638368,13628554437.0089,5899972284.71036,7728582152.29856,0,2723886487.01759,502633007.33785,4815212053.98687,0,5183359400.47983,1419353.29299307,32890663.9097865,368147346.492964,4780902036.78409,543509533.687406,17398583465.0518,-5269318555.6451,-1823.85907729355,78184502087.9407,27061.851040302,167984791991.539,58144.2523327437
Albania,Europe,ALB,2002,48529940023.6471,15906.1884502663,3906.69937846368,7820.39268675854,5298.90071526474,10607.2877350016,1392.20133680107,2786.89504824303,11919378870.6865,23860096291.2272,16166999071.2799,32362940952.3671,4247620200.59344,8502844661.13997,15599772985.1753,5112.98651435928,3929.37660756174,1403.66765883431,2525.70894872743,13.8606337808987,758.325682542557,51.3865085701674,340.033391532449,0,340.033391532449,0.380733880332282,9.2512894174633,0,330.401368234653,20.0036903714676,4772.95312282683,11988567323.4369,4282604063.78008,7705963259.65687,42288932.2718596,2313659240.69417,156780751.512666,1037445277.89942,0,1037445277.89942,1161622.87623259,28225776.5255747,0,1008057878.49761,61031459.3602513,14562327707.2759,-913053163.147486,-299.262592763539,53595781641.7116,17566.5702969547,116812441487.387,38286.4826688167
Albania,Europe,ALB,2010,68056509546.5039,23362.8626592475,2889.1498613106,15789.921232602,3613.60643002109,19749.2562292264,724.456568710486,3959.33499662444,8416154218.14486,45996372138.9155,10526511416.3865,57529998130.1174,2110357198.24159,11533625991.2019,17348374943.3195,5955.45824878005,3765.43304515534,1419.13516715097,2346.29787800437,1.16491485460285,931.070185535511,65.2704448425277,900.023233037216,0,1090.83943926064,4.23778667111754,17.319478249306002,190.81620622342,878.465968116792,101.680219131442,4864.61880951942,10968785534.6314,4133970543.74928,6834814990.88216,3393421.43467004,2712227002.93884,190134176.505625,2621786578.3253,0,3177638194.19446,12344761.5664855,50452003.8492716,555851615.869154,2558989812.90955,296196613.614491,14170736749.1251,-4214721546.3755,-1446.85587449438,71081458376.2844,24401.2859420802,152271621319.732,52272.7509756134
Albania,Europe,ALB,2013,71600306390.9145,24731.6169541122,2954.27306351879,16810.13403835,3696.74381873511,21034.873135377,742.47075521634,4224.73909702702,8552892312.00874,48666884573.3547,10702413455.6695,60897892935.2448,2149521143.66078,12231008361.8902,21317138367.2328,7363.19894747136,4524.48172806055,1858.59184699639,2665.88988106416,10.4475599959203,905.649189527691,150.740767819707,1492.95198097595,0,1610.24653368834,0.617295345100631,14.4863824545207,117.294552712388,1477.84830317633,161.633168379155,5752.95241378303,13098790855.0543,5380794387.50447,7717996467.54981,30246647.3637088,2621937723.4081,436408390.98869,4322233336.50762,0,4661811857.70883,1787126.81523808,41939409.9530233,339578521.201212,4278506799.73936,467942892.709145,16655326509.5239,-4876322016.54649,-1684.34095239339,76794180989.3856,26525.6444318128,164835303730.986,56936.1193810029
Albania,Europe,ALB,1997,37131131818.8883,11794.0971021609,2868.99731747057,5466.6915395155,4059.32053470641,7734.7765674545,1190.32321723585,2268.085027939,9032409743.64355,17210681106.7174,12779881712.326,24351250106.5622,3747471968.6825,7140568999.84482,17353402794.572,5512.02475083131,4320.38197559729,1985.0260861701,2335.35588942719,3.38929112362174,536.448659040978,99.5675108953949,501.436388622734,0,519.059588169783,0.675816305635903,8.18371551880658,17.6231995470488,492.576856798291,33.1777260042469,4992.96516266153,13601776486.5154,6249419911.59368,7352356574.92173,10670440.847967,1688891120.73419,313466502.769265,1578662655.00957,0,1634145439.30275,2127659.63452371,25764636.0772639,55482784.2931823,1550770359.29778,104452804.402376,15719257355.2692,-420919237.383234,-133.698115696545,49972131102.6993,15872.8306344635,104035746478.776,33045.2543717592
Albania,Europe,ALB,2005,54424482556.1464,18072.2953664241,2222.11545577313,11689.3498287731,2886.73594288008,15185.559423544,664.62048710695,3496.20959477091,6691871807.55985,35202325047.8024,8693367764.4161,45731114791.7303,2001495956.85625,10528789743.9279,15723864134.2213,5221.29570349178,3816.29740814449,1268.67447582741,2547.62293231708,12.2445122207808,817.644523999828,41.1478464636064,495.295855661098,0,505.661508430689,1.99027291160437,11.7033389253649,10.3656527695903,481.602243824129,28.299904232379,4715.63419506109,11492730032.7608,3820596691.18607,7672133341.57477,36874189.3742224,2462325854.64667,123916204.703147,1491577030.47727,0,1522793059.03941,5993680.99974871,35244453.0303302,31216028.5621352,1450338896.4472,85224793.6970544,14201071075.1819,-1626891159.93311,-540.22851831441,59043350650.8133,19606.0453360128,127564806181.248,42359.4078876143
